field_id,lon,lat,area_ha
settat_432326,-7.069928,33.031786,0.531
settat_433638,-6.961865,32.952978,0.815
settat_434913,-7.005681,32.960627,0.441
settat_436034,-6.972265,32.891654,1.197
settat_436542,-7.027208,32.904842,0.412
settat_437645,-6.935813,32.925230,0.520
settat_438042,-7.123077,32.876864,0.922
settat_442708,-7.231902,32.933460,0.622
settat_443147,-7.225041,32.941944,1.174
settat_443438,-7.204069,32.922055,1.061
settat_444345,-7.186260,32.930454,1.019
settat_444347,-7.185967,32.927876,1.119
settat_445406,-7.175875,32.956351,1.345
settat_446586,-7.275082,32.898503,0.408
settat_447505,-7.249345,32.882446,0.801
settat_449775,-7.180576,32.892687,1.257
settat_449896,-7.180771,32.901505,0.837
settat_450642,-7.169311,32.928965,0.645
settat_451812,-7.158137,32.939883,1.332
settat_452504,-7.082960,32.939196,0.425
settat_454750,-7.074093,32.950723,0.584
settat_455832,-7.090788,32.969916,0.744
settat_460185,-7.069997,33.240600,0.747
settat_461422,-6.929164,33.292794,1.748
settat_463381,-8.044725,33.322219,0.784
settat_463680,-8.127794,33.307787,0.676
settat_464695,-8.060505,33.340608,0.990
settat_465341,-8.130685,33.347081,0.485
settat_467412,-8.050179,33.379900,0.823
settat_470742,-8.088088,33.422179,1.577
settat_472667,-8.030012,33.441609,0.782
settat_472766,-7.999751,33.437545,0.754
settat_473858,-7.963156,33.416896,1.080
settat_474193,-7.943563,33.466137,1.014
settat_474991,-7.851201,33.450296,1.617
settat_475682,-7.905046,33.412697,1.937
settat_476601,-7.899127,33.449081,1.218
settat_477451,-7.877794,33.431461,1.862
settat_480739,-8.102334,33.391287,1.079
settat_481272,-8.086287,33.306299,0.540
settat_481300,-8.097661,33.306590,1.085
settat_481660,-7.969396,33.330983,0.544
settat_481784,-7.948405,33.337007,0.471
settat_482128,-7.961037,33.324887,0.691
settat_482965,-8.020459,33.323808,1.321
settat_485297,-7.969842,33.366967,0.483
settat_485759,-7.953878,33.362011,0.518
settat_488459,-8.028734,33.371607,0.740
settat_488997,-8.001433,33.303233,0.478
settat_491184,-7.887959,33.323863,0.758
settat_492599,-8.068983,33.228849,0.431
settat_493218,-8.058487,33.204734,0.724
settat_495083,-8.074775,33.251923,1.338
settat_495678,-8.045403,33.267281,0.463
settat_496699,-8.099559,33.266223,0.534
settat_497713,-8.107465,33.253094,0.715
settat_498026,-8.117029,33.271595,0.423
settat_499863,-7.962492,33.217172,0.563
settat_500991,-7.970981,33.235859,0.403
settat_501851,-8.009335,33.238446,0.487
settat_502211,-8.033073,33.207125,0.396
settat_502826,-7.995828,33.248558,0.953
settat_504273,-7.944276,33.244262,0.414
settat_505807,-7.891013,33.314747,0.586
settat_505975,-7.932192,33.326407,0.387
settat_509010,-7.794370,33.471349,0.546
settat_511016,-6.911943,32.919554,0.678
settat_512646,-7.953263,33.269241,1.141
settat_515560,-7.872247,33.211001,0.612
settat_516041,-7.919281,33.222993,0.657
settat_516381,-7.927125,33.240903,0.396
settat_516704,-7.905572,33.234729,0.585
settat_520913,-8.121433,33.185504,0.532
settat_526565,-7.938160,33.031450,0.537
settat_529399,-8.073033,32.916401,0.380
settat_529947,-7.956731,32.957773,0.722
settat_530590,-7.965652,32.897749,0.561
settat_530798,-7.971258,32.925195,0.510
settat_530815,-7.951249,32.924271,1.119
settat_531047,-7.974749,32.928801,0.448
settat_531362,-7.952341,32.902786,0.373
settat_532244,-7.997745,32.919536,1.146
settat_536441,-8.004520,32.886657,0.473
settat_540176,-8.031189,33.065106,0.775
settat_544868,-7.894975,33.010458,0.480
settat_546333,-7.861462,33.038329,1.178
settat_547630,-7.836137,33.003743,0.653
settat_547847,-7.870445,32.977004,0.884
settat_549025,-7.829489,33.024069,0.538
settat_552568,-7.798996,33.311890,0.740
settat_553329,-7.964594,32.982112,0.991
settat_556533,-7.794872,33.114925,0.816
settat_557324,-8.093446,32.986171,1.283
settat_559016,-8.076606,33.041059,0.418
settat_559890,-8.097916,33.033706,0.495
settat_561490,-8.055555,33.062523,0.601
settat_561912,-8.037463,32.981713,0.516
settat_564219,-8.001899,33.002626,1.021
settat_564927,-7.832724,33.293198,0.774
settat_565118,-7.830474,33.277012,0.785
settat_565266,-7.839187,33.266589,0.523
settat_565467,-7.842751,33.289624,0.548
settat_565487,-7.850132,33.291008,0.669
settat_565558,-7.852115,33.254564,0.772
settat_566875,-7.830582,33.230572,1.138
settat_567420,-7.860511,33.292039,0.674
settat_568593,-7.809532,33.292773,0.889
settat_570489,-7.787169,33.200405,0.560
settat_571271,-7.903712,32.856277,1.066
settat_572523,-7.838176,32.843202,1.009
settat_573793,-7.791538,32.860044,0.705
settat_574643,-7.920432,32.941989,0.658
settat_574943,-7.910196,32.955474,0.700
settat_575985,-7.886476,32.937439,0.809
settat_576463,-7.842489,32.929342,1.135
settat_576828,-7.900219,32.972289,0.579
settat_577854,-7.813312,32.871157,0.751
settat_578797,-7.819615,32.961351,0.892
settat_580257,-8.030850,32.835217,0.384
settat_580326,-8.018726,32.832678,0.737
settat_580774,-7.944622,32.836623,1.186
settat_583920,-7.923658,33.132858,0.672
settat_585206,-7.900888,33.085113,0.910
settat_588880,-7.826353,32.758388,1.746
settat_590048,-8.145810,33.355136,0.427
settat_591694,-7.866422,32.728032,0.701
settat_593693,-7.833273,32.667088,1.829
settat_598418,-7.804606,32.779592,1.260
settat_598764,-8.144308,33.242530,1.301
settat_599607,-8.136328,33.275355,1.581
settat_602374,-7.883225,32.827031,1.106
settat_602945,-7.849532,32.829655,1.664
settat_604835,-7.955425,32.815644,2.094
settat_604945,-7.933626,32.803210,0.402
settat_605470,-8.076550,33.156385,2.050
settat_606764,-8.098430,33.089085,0.782
settat_607356,-8.026401,33.131458,0.721
settat_607451,-8.022293,33.116965,1.274
settat_608922,-8.017269,33.168065,1.451
settat_608986,-8.019543,33.128334,0.401
settat_609039,-8.016725,33.146307,0.618
settat_611621,-7.977815,33.104204,0.637
