pair_id,province,year,image_a,image_b,lat_a,lon_a,lat_b,lon_b
settat_150370,Settat,2025,Settat/2025/32.68951_-7.75726_2025_Settat.jpg,,32.689507,-7.757263,,
settat_152441,Settat,2025,Settat/2025/32.72223_-7.66726_2025_Settat.jpg,,32.722228,-7.667262,,
settat_153148,Settat,2025,Settat/2025/32.72989_-7.69291_2025_Settat.jpg,,32.729891,-7.692911,,
settat_153215,Settat,2025,Settat/2025/32.74099_-7.69594_2025_Settat.jpg,,32.740988,-7.695939,,
settat_153913,Settat,2025,Settat/2025/32.71034_-7.69198_2025_Settat.jpg,,32.710339,-7.691978,,
settat_155591,Settat,2025,Settat/2025/32.70721_-7.68487_2025_Settat.jpg,,32.70721,-7.684874,,
settat_155688,Settat,2025,Settat/2025/32.66833_-7.63603_2025_Settat.jpg,,32.668328,-7.636028,,
settat_157233,Settat,2025,Settat/2025/32.93206_-7.44599_2025_Settat.jpg,,32.932064,-7.445993,,
settat_157982,Settat,2025,Settat/2025/32.93852_-7.48523_2025_Settat.jpg,,32.938517,-7.485229,,
settat_158993,Settat,2025,Settat/2025/32.95551_-7.44749_2025_Settat.jpg,,32.955515,-7.447492,,
settat_159422,Settat,2025,Settat/2025/32.94700_-7.47024_2025_Settat.jpg,,32.947,-7.470244,,
settat_159935,Settat,2025,Settat/2025/32.97203_-7.49618_2025_Settat.jpg,,32.972032,-7.496184,,
settat_160798,Settat,2025,Settat/2025/32.79664_-7.76380_2025_Settat.jpg,,32.79664,-7.763795,,
settat_162162,Settat,2025,Settat/2025/32.66970_-7.54544_2025_Settat.jpg,,32.669697,-7.545441,,
settat_162988,Settat,2025,Settat/2025/32.56773_-7.50532_2025_Settat.jpg,,32.567725,-7.505324,,
settat_163320,Settat,2025,Settat/2025/32.56275_-7.50987_2025_Settat.jpg,,32.562753,-7.509871,,
settat_163370,Settat,2025,Settat/2025/32.55980_-7.50832_2025_Settat.jpg,,32.559805,-7.508321,,
settat_164277,Settat,2025,Settat/2025/32.58309_-7.54555_2025_Settat.jpg,,32.583092,-7.545548,,
settat_164554,Settat,2025,Settat/2025/32.57734_-7.53785_2025_Settat.jpg,,32.577341,-7.537853,,
